,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,ListOfAllPropertyUseTypes,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,DefaultData,Latitude,Longitude,ZipCode,log_SiteEnergyUse,log_TotalGHGEmissions
5122,2016,NonResidential,Hotel,3.0,EAST,1928,2.0,48006.0,Hotel,Hotel,85.0,3239754.0,101.31,False,47.609809999999996,-122.32687,98101.0,14.99100826762543,4.6280074198908485
5120,2016,NonResidential,Hotel,3.0,EAST,1928,6.0,35770.0,Hotel,Hotel,56.0,2640980.25,112.34,False,47.60958,-122.32646000000001,98104.0,14.786661091670576,4.730392150741473
5119,2016,NonResidential,Small- and Mid-Sized Office,3.0,EAST,1959,3.0,25151.0,Office,Office,85.0,1356874.75,62.05,False,47.607890000000005,-122.32248999999999,98122.0,14.120695372355213,4.143928062410929
5118,2016,NonResidential,Small- and Mid-Sized Office,1.0,DELRIDGE,1988,2.0,66484.0,"Non-Refrigerated Warehouse, Office, Retail Store",Office,69.0,3046543.0,21.24,False,47.56877,-122.36368999999999,98103.0,14.929518391369607,3.1018924693823817
5117,2016,NonResidential,Other,1.0,Delridge,1997,1.0,40189.0,"Office, Other - Utility, Parking",Other - Utility,,1509292.0,37.65,False,47.563190000000006,-122.35067,98106.0,14.22715188722515,3.654546775033431
5113,2016,NonResidential,Mixed Use Property,7.0,DOWNTOWN,1909,2.0,111137.0,"Bank Branch, Multifamily Housing, Office, Other, Retail Store",Office,,9546165.0,294.65,False,47.61056,-122.33661000000001,98011.0,16.07165016587929,5.689176322266839
5067,2016,NonResidential,Retail Store,5.0,NORTHWEST,1979,2.0,20088.0,"Office, Parking, Retail Store",Retail Store,,326778.6875,2.28,False,47.72286,-122.34612,98133.0,14.752005111155329,3.923556241241819
5107,2016,NonResidential,Other,5.0,NORTH,1969,1.0,30160.0,Other,Other,,1045838.5,44.26,False,47.72083,-122.29978999999999,98125.0,13.860330470151025,3.8124236402053913
5102,2016,NonResidential,Small- and Mid-Sized Office,5.0,NORTH,1985,3.0,33580.0,"Office, Parking",Office,100.0,409578.4063,2.86,False,47.729859999999995,-122.29278000000001,98125.0,14.752005111155329,3.923556241241819
5100,2016,NonResidential,Other,1.0,DELRIDGE,1966,2.0,28109.0,Other,Other,,3612526.75,38.39,False,47.57058,-122.35626,98106.0,15.09991829303422,3.6735119769828146
